Category: All categories

Month,"""avian malaria"" + ""penguin"": (Worldwide)","""malaria"" + ""penguin"": (Worldwide)"
2004-01,18,23
2004-02,22,27
2004-03,19,25
2004-04,15,21
2004-05,15,21
2004-06,11,17
2004-07,10,16
2004-08,9,14
2004-09,10,16
2004-10,11,17
2004-11,13,19
2004-12,14,21
2005-01,14,21
2005-02,14,19
2005-03,12,18
2005-04,12,18
2005-05,13,20
2005-06,11,17
2005-07,13,17
2005-08,12,16
2005-09,12,16
2005-10,12,18
2005-11,13,20
2005-12,19,24
2006-01,15,21
2006-02,13,18
2006-03,13,18
2006-04,14,19
2006-05,15,21
2006-06,16,20
2006-07,16,20
2006-08,16,19
2006-09,18,23
2006-10,22,27
2006-11,28,33
2006-12,38,42
2007-01,32,37
2007-02,36,41
2007-03,37,41
2007-04,39,44
2007-05,34,39
2007-06,40,45
2007-07,40,42
2007-08,38,45
2007-09,39,44
2007-10,39,43
2007-11,44,50
2007-12,51,55
2008-01,42,47
2008-02,41,45
2008-03,45,51
2008-04,45,48
2008-05,43,46
2008-06,42,48
2008-07,46,49
2008-08,45,50
2008-09,40,43
2008-10,48,53
2008-11,56,60
2008-12,65,68
2009-01,55,60
2009-02,55,60
2009-03,53,57
2009-04,55,59
2009-05,55,58
2009-06,56,60
2009-07,65,68
2009-08,61,67
2009-09,62,65
2009-10,71,72
2009-11,71,77
2009-12,85,86
2010-01,81,82
2010-02,77,84
2010-03,77,84
2010-04,75,78
2010-05,73,73
2010-06,88,92
2010-07,85,93
2010-08,78,83
2010-09,73,78
2010-10,79,84
2010-11,79,83
2010-12,96,100
2011-01,85,87
2011-02,79,83
2011-03,78,82
2011-04,82,91
2011-05,68,70
2011-06,70,70
2011-07,66,69
2011-08,66,69
2011-09,59,60
2011-10,64,65
2011-11,58,62
2011-12,71,75
2012-01,50,53
2012-02,49,53
2012-03,60,65
2012-04,59,64
2012-05,57,59
2012-06,71,74
2012-07,70,75
2012-08,57,61
2012-09,54,56
2012-10,62,63
2012-11,64,69
2012-12,68,72
2013-01,52,59
2013-02,52,55
2013-03,57,60
2013-04,54,58
2013-05,54,56
2013-06,53,56
2013-07,62,64
2013-08,51,55
2013-09,42,46
2013-10,38,43
2013-11,39,41
2013-12,44,46
2014-01,38,40
2014-02,36,39
2014-03,32,36
2014-04,34,36
2014-05,27,32
2014-06,29,32
2014-07,32,38
2014-08,29,33
2014-09,25,29
2014-10,27,30
2014-11,28,32
2014-12,29,33
2015-01,24,27
2015-02,20,23
2015-03,18,22
2015-04,18,21
2015-05,18,20
2015-06,18,20
2015-07,18,21
2015-08,17,20
2015-09,16,20
2015-10,18,21
2015-11,17,21
2015-12,20,23
2016-01,17,20
2016-02,15,18
2016-03,13,17
2016-04,13,16
2016-05,13,16
2016-06,12,15
2016-07,11,14
2016-08,10,14
2016-09,11,15
2016-10,11,14
2016-11,13,16
2016-12,13,17
2017-01,12,14
2017-02,15,19
2017-03,12,16
2017-04,12,15
2017-05,9,12
2017-06,7,11
2017-07,7,10
2017-08,7,10
2017-09,7,11
2017-10,8,12
2017-11,9,13
2017-12,11,13
2018-01,9,13
2018-02,9,12
2018-03,8,11
2018-04,7,11
2018-05,7,11
2018-06,7,10
2018-07,7,10
2018-08,7,10
2018-09,8,12
2018-10,8,12
2018-11,9,12
2018-12,9,12
2019-01,9,11
2019-02,9,12
2019-03,9,12
2019-04,9,12
2019-05,8,12
2019-06,8,12
2019-07,7,11
2019-08,8,11
2019-09,8,12
2019-10,8,13
2019-11,9,13
2019-12,9,12
2020-01,9,12
2020-02,8,12
2020-03,14,25
2020-04,18,24
2020-05,11,15
2020-06,10,13
2020-07,8,11
2020-08,9,12
2020-09,8,11
2020-10,7,10
2020-11,7,10
2020-12,8,11
2021-01,8,11
2021-02,8,11
2021-03,6,9
2021-04,6,9
2021-05,6,9
2021-06,6,9
2021-07,6,9
2021-08,6,9
2021-09,6,9
2021-10,6,10
2021-11,6,10
2021-12,7,10
2022-01,8,11
2022-02,7,10
2022-03,8,12
2022-04,9,13
2022-05,7,10
2022-06,6,10
2022-07,6,10
2022-08,6,10
2022-09,6,10
2022-10,6,11
2022-11,7,11
2022-12,8,12
2023-01,8,12
2023-02,7,11
2023-03,6,10
2023-04,6,10
2023-05,6,10
2023-06,6,10
2023-07,6,11
2023-08,6,10
2023-09,6,11
2023-10,6,11
2023-11,7,11
2023-12,8,12
2024-01,7,12
2024-02,7,11
2024-03,7,10
2024-04,7,11
2024-05,6,10
2024-06,6,10
2024-07,6,10
2024-08,8,12
2024-09,18,22
2024-10,22,27
2024-11,23,26
2024-12,13,16
2025-01,11,14
2025-02,9,13
2025-03,8,12
2025-04,9,13
2025-05,8,12
2025-06,7,11
2025-07,8,12
2025-08,9,12
2025-09,9,14
2025-10,8,12
