Category: All categories

Country,"""avian malaria"" + ""penguin"": (1/1/04 - 10/17/25)"
Falkland Islands (Islas Malvinas),
Norfolk Island,
New Zealand,100
Colombia,95
Portugal,94
St. Pierre & Miquelon,
Gibraltar,
El Salvador,81
Malta,
Peru,80
Ireland,80
United Kingdom,79
Ecuador,76
Mexico,75
Venezuela,74
Australia,74
Chile,70
Costa Rica,69
Argentina,69
Isle of Man,
Guatemala,62
Jersey,
Uruguay,56
Canada,54
Guernsey,
United States,46
Nicaragua,
Bermuda,
Iceland,
Cayman Islands,
Guam,
Anguilla,
Singapore,41
Spain,41
Brazil,41
Panama,40
Qatar,
Honduras,
Dominican Republic,39
Bahrain,
Dominica,
Cyprus,
Aruba,
Guinea-Bissau,
Northern Mariana Islands,
United Arab Emirates,34
Faroe Islands,
Slovenia,30
British Virgin Islands,
Romania,30
Antigua & Barbuda,
Maldives,
Trinidad & Tobago,
Brunei,
Andorra,
Monaco,
Belize,
St. Vincent & Grenadines,
Turks & Caicos Islands,
Bahamas,
Svalbard & Jan Mayen,
Paraguay,
U.S. Virgin Islands,
Montserrat,
Sint Maarten,
St. Kitts & Nevis,
Puerto Rico,
Lithuania,
Cook Islands,
Barbados,
Kuwait,
Philippines,20
Bulgaria,19
Estonia,
Grenada,
St. Lucia,
Jamaica,
Vanuatu,
Malaysia,18
Denmark,18
Norway,17
Croatia,17
Angola,
New Caledonia,
Israel,16
South Africa,16
Hong Kong,16
Sri Lanka,
Latvia,
Guadeloupe,
French Guiana,
Mauritius,
Åland Islands,
North Macedonia,
Finland,14
Seychelles,
Oman,
Pakistan,14
Micronesia,
Curaçao,
Hungary,13
Sweden,13
American Samoa,
Lebanon,
Martinique,
St. Helena,
Caribbean Netherlands,
Réunion,
Fiji,
Bolivia,
St. Martin,
Greenland,
Guyana,
Greece,11
Belgium,11
Mongolia,
Marshall Islands,
Namibia,
Bhutan,
Macao,
Albania,
Luxembourg,
France,10
Cape Verde,
Palau,
Nepal,
Slovakia,
French Polynesia,
Tonga,
Kosovo,
Botswana,
India,9
Switzerland,9
Samoa,
Jordan,
Bosnia & Herzegovina,
Indonesia,8
Serbia,
Czechia,8
São Tomé & Príncipe,
Myanmar (Burma),
Mayotte,
Netherlands,8
Lesotho,
Türkiye,7
Georgia,
Solomon Islands,
Eswatini,
Liechtenstein,
Saudi Arabia,6
Cambodia,
Montenegro,
Germany,6
Bangladesh,
Egypt,6
Zimbabwe,
Suriname,
Austria,
Tunisia,
Eritrea,
Thailand,5
Palestine,
Poland,5
South Korea,5
Djibouti,
Morocco,
Malawi,
Ghana,
Papua New Guinea,
Kenya,
Armenia,
Zambia,
Azerbaijan,
Mozambique,
Moldova,
Madagascar,
Laos,
Algeria,
Rwanda,
Gambia,
Nigeria,
Italy,3
Senegal,
San Marino,
Gabon,
Tanzania,
Western Sahara,
Ethiopia,
Timor-Leste,
Vietnam,3
Uganda,
Libya,
Afghanistan,
Somalia,
Taiwan,
Côte d’Ivoire,
Iraq,
Equatorial Guinea,
Haiti,
Sierra Leone,
Syria,
China,
St. Barthélemy,
Liberia,
Mauritania,
Cuba,
Sudan,
Japan,2
Yemen,
South Sudan,
Cameroon,
Uzbekistan,
Iran,
Niger,
Ukraine,
Togo,
Comoros,
Turkmenistan,
Russia,1
Burundi,
Kazakhstan,
Mali,
Congo - Brazzaville,
Burkina Faso,
Belarus,
Kyrgyzstan,
Congo - Kinshasa,
Benin,
Tajikistan,
Guinea,
Chad,
Tuvalu,
Tokelau,
U.S. Outlying Islands,
Kiribati,
South Georgia & South Sandwich Islands,
Vatican City,
French Southern Territories,
Antarctica,
Bouvet Island,
Heard & McDonald Islands,
Christmas Island,
Central African Republic,
Wallis & Futuna,
North Korea,
Cocos (Keeling) Islands,
Niue,
Pitcairn Islands,
British Indian Ocean Territory,
Nauru,
