Category: All categories

Country,"""malaria"" + ""penguin"": (1/1/04 - 10/17/25)"
Falkland Islands (Islas Malvinas),
Norfolk Island,
Solomon Islands,
Eritrea,
Zambia,
South Sudan,
Liberia,
Ghana,100
New Zealand,97
Malawi,
Gambia,
Sierra Leone,
Colombia,89
Portugal,86
Nigeria,85
Mozambique,
Gibraltar,
Papua New Guinea,
Malta,
Australia,78
Uganda,78
St. Pierre & Miquelon,
Peru,77
Ireland,76
El Salvador,75
Ecuador,75
Venezuela,71
United Kingdom,71
Somalia,
Costa Rica,69
Mexico,69
Tanzania,68
Angola,
Timor-Leste,
Ethiopia,
Chile,64
Argentina,64
Vanuatu,
Isle of Man,
Guatemala,62
Jersey,
Rwanda,
Guinea-Bissau,
Nicaragua,
Namibia,
Kenya,53
Guernsey,
São Tomé & Príncipe,
Canada,52
Uruguay,52
Zimbabwe,
Botswana,
Anguilla,
Honduras,
Dominica,
United States,45
Cameroon,
Equatorial Guinea,
Panama,44
Bermuda,
Guam,
Dominican Republic,42
Iceland,
Cayman Islands,
Central African Republic,
Singapore,41
Belize,
Eswatini,
Qatar,
Brazil,37
Bahrain,
Spain,37
Guyana,
Northern Mariana Islands,
Aruba,
Cyprus,
United Arab Emirates,34
Maldives,
Burundi,
Antigua & Barbuda,
Faroe Islands,
South Africa,32
British Virgin Islands,
Grenada,
Trinidad & Tobago,
Congo - Kinshasa,
St. Vincent & Grenadines,
St. Kitts & Nevis,
Turks & Caicos Islands,
Seychelles,
Djibouti,
Brunei,
Haiti,
Bahamas,
Cape Verde,
Sudan,
Monaco,
U.S. Virgin Islands,
Slovenia,
Romania,26
Sint Maarten,
Andorra,
Paraguay,
Barbados,
Cook Islands,
Montserrat,
Philippines,25
Jamaica,
Svalbard & Jan Mayen,
Bhutan,
Puerto Rico,
Pakistan,23
St. Lucia,
Malaysia,22
Mauritius,
Denmark,21
Norway,21
Bolivia,
Sri Lanka,
Caribbean Netherlands,
Nepal,
Fiji,
Lesotho,
Micronesia,
Kuwait,
Myanmar (Burma),
American Samoa,
Cambodia,
Lithuania,
Estonia,
Niger,
India,18
St. Helena,
Marshall Islands,
Bulgaria,17
Curaçao,
Lebanon,
Finland,17
Palau,
Suriname,
Hong Kong,17
Oman,
Sweden,16
French Guiana,
Indonesia,16
Åland Islands,
New Caledonia,
Togo,
Chad,
Israel,15
Samoa,
Croatia,
Switzerland,15
Latvia,
Comoros,
Laos,
Tonga,
Luxembourg,
Belgium,14
Benin,
Burkina Faso,
North Macedonia,
Guadeloupe,
Congo - Brazzaville,
St. Martin,
Kiribati,
Netherlands,13
Greenland,
Senegal,
Gabon,
Afghanistan,
Madagascar,
Martinique,
Hungary,12
Réunion,
Mali,
Albania,
Liechtenstein,
Macao,
Mongolia,
Greece,10
Austria,10
Kosovo,
Germany,10
French Polynesia,
France,10
Slovakia,
Jordan,
Côte d’Ivoire,
Bangladesh,
Guinea,
Serbia,
Georgia,
Saudi Arabia,8
Czechia,
Mayotte,
Bosnia & Herzegovina,
Tunisia,
Thailand,7
Yemen,
Poland,7
Türkiye,6
Italy,6
Egypt,6
Cuba,
Palestine,
Montenegro,
Morocco,
San Marino,
Mauritania,
South Korea,5
Moldova,
Armenia,
Algeria,
Libya,
Azerbaijan,
Western Sahara,
Iraq,
St. Barthélemy,
Vietnam,3
Taiwan,
China,
Kyrgyzstan,
Syria,
Uzbekistan,
Japan,2
Iran,
Ukraine,
Russia,1
Turkmenistan,
Tajikistan,
Kazakhstan,
Belarus,
Tuvalu,
French Southern Territories,
South Georgia & South Sandwich Islands,
Pitcairn Islands,
British Indian Ocean Territory,
Niue,
Antarctica,
Vatican City,
Tokelau,
North Korea,
Christmas Island,
Wallis & Futuna,
Heard & McDonald Islands,
Bouvet Island,
Nauru,
Cocos (Keeling) Islands,
U.S. Outlying Islands,
